# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 25, 2024",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"228 ","Jubb, Paul","$215,055 ","$215,055 ",$0,"$530,207"
"229 ","Polmans, Marc","$214,076 ","$197,218 ","$16,858","$1,754,807"
"230 ","Huesler, Marc-Andrea","$212,401 ","$185,031 ","$27,370","$1,780,481"
"231 ","Barrios Vera, Tomas","$210,335 ","$187,836 ","$22,499","$985,863"
"232 ","Haase, Robin","$209,275 ","$3,994 ","$205,281","$8,433,035"
"233 ","Bagnis, Facundo","$206,916 ","$203,626 ","$3,290","$3,063,839"
"234 ","Yevseyev, Denis","$204,062 ","$197,898 ","$6,164","$509,346"
"235 ","Gigante, Matteo","$203,804 ","$202,279 ","$1,525","$418,773"
"236 ","Ymer, Elias","$199,065 ","$199,065 ",$0,"$2,022,614"
"237 ","Moro Canas, Alejandro","$194,792 ","$191,424 ","$3,368","$294,109"
"238 ","Jebens, Hendrik","$193,888 ","$3,076 ","$190,812","$297,796"
"239 ","Smith, John-Patrick","$193,809 ","$0 ","$193,809","$1,869,397"
"240 ","Frantzen, Constantin","$190,812 ","$0 ","$190,812","$275,300"
"241 ","Jacquet, Kyrian","$189,521 ","$189,081 ",$440,"$358,321"
"242 ","Tien, Learner","$189,319 ","$188,800 ",$519,"$382,234"
"243 ","Prizmic, Dino","$188,648 ","$188,648 ",$0,"$297,703"
"244 ","Droguet, Titouan","$187,944 ","$172,611 ","$15,333","$453,184"
"245 ","Riedi, Leandro","$187,230 ","$181,903 ","$5,327","$494,930"
"246 ","Hong, Seongchan","$185,595 ","$183,045 ","$2,550","$422,134"
"247 ","Shimabukuro, Sho","$185,556 ","$182,896 ","$2,660","$526,751"
"248 ","Escoffier, Antoine","$182,719 ","$171,098 ","$11,621","$569,716"
"249 ","Misolic, Filip","$181,053 ","$180,077 ",$976,"$586,338"
"250 ","Boyer, Tristan","$178,525 ","$138,807 ","$39,718","$251,141"
"251 ","Molleker, Rudolf","$176,025 ","$171,230 ","$4,795","$709,145"
"252 ","Kym, Jerome","$174,411 ","$156,714 ","$17,697","$230,408"
"253 ","Broady, Liam","$173,757 ","$159,675 ","$14,082","$2,056,905"
"254 ","Uchiyama, Yasutaka","$173,165 ","$169,994 ","$3,171","$1,620,468"
"255 ","Kasnikowski, Maks","$172,394 ","$170,194 ","$2,200","$229,380"
"256 ","Mies, Andreas","$171,494 ","$0 ","$171,494","$2,221,441"
"257 ","Tseng, Chun-Hsin","$170,358 ","$167,085 ","$3,273","$1,011,472"
"258 ","Nedovyesov, Aleksandr","$170,331 ","$0 ","$170,331","$1,574,574"
"259 ","Hsu, Yu Hsiou","$169,135 ","$159,350 ","$9,785","$631,056"
"260 ","Janvier, Maxime","$165,957 ","$158,601 ","$7,356","$923,980"
"261 ","Escobar, Gonzalo","$165,590 ","$0 ","$165,590","$1,006,265"
"262 ","Watanuki, Yosuke","$165,230 ","$164,445 ",$785,"$1,088,892"
"263 ","Blanchet, Ugo","$164,612 ","$158,969 ","$5,643","$294,454"
"264 ","Roca Batalla, Oriol","$164,313 ","$148,014 ","$16,299","$545,087"
"Page 6 of 102 ",,Statistics/ Prize Money/ Current,,"Report as of ","Nov 25, 2024"

,,ATP Prize Money Leaders (US$),,,
,,"Rankings Date:Nov 25, 2024",,,
Money,,,,,
Rank,Player,"YTD ","Singles ",Doubles,Career
"265 ","Gomez, Federico Agustin","$161,236 ","$137,312 ","$23,924","$214,336"
"266 ","McCabe, James","$160,636 ","$147,163 ","$13,473","$291,236"
"267 ","Spizzirri, Eliot","$159,550 ","$154,020 ","$5,530","$286,319"
"268 ","Reyes-Varela, Miguel","$159,353 ","$0 ","$159,353","$764,257"
"269 ","Jasika, Omar","$159,303 ","$157,188 ","$2,115","$502,967"
